prompt,command
List all scheduled cron jobs,crontab -l
"Find all ELF binaries under /usr/local/bin, list their dynamic dependencies using ldd, and output a sorted list of unique library names to /tmp/libdeps.txt.",find /usr/local/bin -type f -executable -exec file {} + | awk -F: '/ELF/ {print $1}' | xargs -n1 ldd 2>/dev/null | awk '/=>/ {print $1}' | sort -u > /tmp/libdeps.txt
Find all processes owned by user alice and kill them,pkill -u alice
Create a zip archive of the current directory,zip -r archive.zip .
create a bzip2 compressed file,bzip2 file.txt
show real-time CPU frequency,"watch -n 1 ""cat /proc/cpuinfo | grep MHz"""
"Create a compressed zip archive ""src.zip"" containing the directory ""src"" while preserving file permissions.",zip -r -X src.zip src
git apply stashed changes,git stash pop
kubernetes get all resources in a namespace,kubectl get all -n YOUR_NAMESPACE
List all scheduled cron jobs for the current user,crontab -l
initialize a new Next.js app my-app,npx create-next-app my-app
Replace tabs with four spaces in a file and save to a new file,expand -t4 input.txt > output.txt
"Show the difference between two branches ""dev"" and ""main"" in a Git repository, limited to file names only.",git diff --name-only dev main
Install a new package called 'example',apt-get install example
search for whole words only,"grep -w ""word"" file.txt"
convert Jupyter notebook to Python script,jupyter nbconvert --to script notebook.ipynb
"Force create a symbolic link in ""/usr/bin/"" for each file matching ""$javaUsrLib/jdk1*/bin/*""",sudo ln -f -s $javaUsrLib/jdk1*/bin/* /usr/bin/
Move a file named 'file1.txt' to 'file2.txt',mv file1.txt file2.txt
"Recursively change the owner to ""$USER"" and group to ""$GROUP"" of ""/var/lib/cassandra""",sudo chown -R  $USER:$GROUP /var/lib/cassandra
"Show the total number of lines across all "".c"" files in the ""src"" directory.","find src -name ""*.c"" -exec cat {} + | wc -l"
Run a command and append the output to a file,command >> file.txt
Counts all business days in a current month.,cal -h | cut -c 4-17 | tail -n +3  | wc -w
"Compress multiple files ""a.txt"", ""b.txt"", and ""c.txt"" into a zip archive ""archive.zip""",zip archive.zip a.txt b.txt c.txt
"Finds all user session in system, and shows sorted user names with number of sessions of each user.","w | sed '1,2d' | cut -f1 -d' ' | sort | uniq -c"
"set alias ""m"" for command ""mplayer -novideo -loop 0""","alias m=""mplayer -novideo -loop 0"""
"Write a script that reads a list of URLs from urls.txt, downloads each with curl (max 3 retries, 10 s timeout), saves to /tmp/downloads, and logs successes and failures to download.log.","#!/usr/bin/env bash
mkdir -p /tmp/downloads
while read -r url; do
  fname=$(basename ""$url"")
  if curl -m 10 --retry 3 -o ""/tmp/downloads/$fname"" ""$url""; then
    echo ""$(date +%F_%T) SUCCESS $url"" >> download.log
  else
    echo ""$(date +%F_%T) FAIL $url"" >> download.log
  fi
done < urls.txt"
Globally sets the maximum number of lines to held in window history as 10000.,tmux set -g history-limit 10000
"Run a command with a timeout of 30 seconds, killing it if it exceeds the limit.",timeout 30 my_long_running_command
Create a new window in an existing screen session and run a script,screen -S demo -p 1 -X screen '/home/aa/scripts/outputs.sh'
"Create a Bash array named fruits containing ""apple"", ""banana"" and ""cherry"" and print the second element.",fruits=(apple banana cherry); echo ${fruits[1]}
Clear the terminal screen,clear
get current epoch timestamp,date +%s
"List the files in the current directory, sorted by modification time",ls -lt
"Create a symbolic link to the current directory named ""selflink""",ln -s $(pwd) selflink
Show the current memory usage in a human‑readable format,free -h
show the total size of a file type *.log,"find . -name ""*.log"" -exec du -ch {} + | tail -1"
"Extract all HTTP status codes from an Apache access log, count occurrences of each code, and output a JSON object mapping code to count.","awk '{print $9}' /var/log/apache2/access.log | \
  sort | uniq -c | awk '{print $2"":""$1}' | \
  jq -R 'split("":"") | { (.[0]): (.[1]|tonumber) }' | jq -s add"
Recursively changes group ownership of everything within '.git' to 'git'.,chgrp -R git .git
"Write a pipeline that reads a large JSON lines file (one JSON object per line), filters objects where ""status"" is ""failed"", extracts the ""id"" and ""timestamp"" fields, and writes a CSV file sorted by timestamp descending.","jq -r 'select(.status==""failed"") | [.id, .timestamp] | @csv' large.jsonl | sort -t, -k2,2r > failed_items.csv"
Set variable 'vara' to 3,source <(echo vara=3)
Recursively lists all *.py and *.html files in a current folder.,ls **/*.py **/*.html
Create a new directory named 'example' and all its parents if they do not exist,mkdir -p example/a/b/c
convert between number bases,"echo ""obase=16; 255"" | bc"
use whois to look up domain information,whois YOUR_DOMAIN
Display the current CPU usage as a percentage using the top command in batch mode.,"top -bn1 | grep ""Cpu(s)"" | awk '{print $2 + $4 ""%""}'"
List all files that have been modified in the last 24 hours in /var/log,find /var/log -type f -mtime -1
Decompress 'file.gz',gzip -d file.gz
mount a partition with UUID UUID to /mnt/data,sudo mount UUID=UUID /mnt/data
"Create a Bash loop that prints numbers 1 through 5, each on a new line.",for i in {1..5}; do echo $i; done
Create a new tag named 'v1.0',git tag v1.0
Schedule a cron job that runs /usr/local/bin/backup.sh every day at 2 am,"(crontab -l ; echo ""0 2 * * * /usr/local/bin/backup.sh"") | crontab -"
"Find duplicate files (by content) in /backup, list each set of duplicates on a separate line, showing full paths.","find /backup -type f -exec md5sum {} + | sort | awk 'BEGIN{prev=""""; dup=""""} {if($1==prev){dup=dup"" ""$2} else {if(dup!=""""){print dup}; dup=$2} prev=$1} END{if(dup!=""""){print dup}}'"
"Use find and xargs to search for files with a specific extension, then use sed to replace a string in those files.","find . -type f -name ""*.txt"" -print0 | xargs -0 sed -i 's/old string/new string/g'"
Change the password for a user account called 'example',passwd example
"Print the column count of compressed file ""$file""","zcat ""$file"" | awk '{print NF}' | head"
Exchanges the top two directories in the dirs stack.,pushd
show the calendar for a specific year 2025,cal 2025
list files sorted by size,ls -lS
"Search for the string ""TODO"" in all .py files recursively","grep -R ""TODO"" --include=""*.py"" ."
Display the system logs,dmesg
download a file https://example.com/file.zip with wget to a specific directory /tmp/,wget -P /tmp/ https://example.com/file.zip
"Create a Bash function called ""extract"" that extracts archives based on their extension (tar, tar.gz, zip).","extract(){ if [[ $1 = *.tar.gz ]]; then tar -xzf ""$1""; elif [[ $1 = *.tar ]]; then tar -xf ""$1""; elif [[ $1 = *.zip ]]; then unzip ""$1""; else echo ""Unsupported format""; fi }"
Print only name and login columns of the currently logged in users,"finger -s | awk '{printf(""%s %s\n"", $1, $2);}'"
sign a file with GPG,gpg --sign YOUR_FILE
Change the group of the file 'file1' to 'group1',chgrp group1 file1
Search for 'pattern' in file 'file' and print the matched lines by separating them with spaces instead of newlines,grep pattern file | tr '\n' ' '
Show the current date in UTC,date -u
"List the unique tab delimited field number ""$FIELD"" in all files, prefix with the number of occurrences, sort from most frequent to least frequent",cut -f $FIELD * | sort| uniq -c |sort -nr
"Create a tar.gz archive of all modified .conf files in /etc that were changed in the last 48 hours, preserving permissions and timestamps, and store it as /tmp/changed_conf_$(date +%F).tgz","tar -czpf ""/tmp/changed_conf_$(date +%F).tgz"" $(find /etc -type f -name '*.conf' -mtime -2)"
"Find all symbolic links under /usr/local that point to non‑existent files, and output their paths",find /usr/local -type l ! -exec test -e {} \; -print
show inode usage,df -i
Run a Python script named 'example.py',python3 example.py
"Show the size of each subdirectory in the current directory, sorted largest first.",du -sh */ | sort -rh
"Activate the Python virtual environment ""venv""",source venv/bin/activate
"Count the number of open files for PID ""$PYTHONPID"" every 2 seconds","watch ""ls /proc/$PYTHONPID/fd | wc -l"""
Show the disk usage of the /home directory in human‑readable format,du -sh /home
Finds users with X session in system and puts the result in USERS variable.,USERS=$(w | awk '/\/X/ {print $1}')
Extract the contents of the archive 'archive1.tar' to the current directory,tar xvf archive1.tar
"Print the number of lines, words, and characters in the file ""essay.txt"".",wc essay.txt
Print the IP addresses for the current host name,hostname -I | awk '{print $1}'
List all open files for the process with PID 5678.,lsof -p 5678
"Set variable ""filename"" to only the name of document specified by URL, in this case ""pic.jpg""","filename=""`basename ""http://pics.sitename.com/images/191211/pic.jpg""`"""
"Generate a list of all IPv4 addresses assigned to the host (excluding loopback), and write them as a JSON array to /tmp/ips.json.","ip -4 -o addr show scope global | awk '{print $4}' | cut -d/ -f1 | jq -R -s -c 'split(""\n"")[:-1]' > /tmp/ips.json"
Gets IP address of eth0 network interface.,ifconfig eth0 | grep addr: | awk '{ print $2 }' | cut -d: -f2
Display the last reboot time of the system,who -b
"Show the current SELinux mode (enforcing, permissive, or disabled).",getenforce
"For each line whose second field is the same in both files, output: first field of second file, second field of first file, and first field of second file.",$ join -j 2 -o 1.1 1.2 2.1 <(sort 1) <(sort -k2 2)
use sed to add line numbers to a file,sed = YOUR_FILE | sed 'N;s/\n/\t/'
"Compare ""$source_file"" and ""$dest_file"" line by line","diff ""$source_file"" ""$dest_file"""
"Finds PIDs of all running processes, gets executable binary of each process, and prints containing folder of each binary.","ps -A -o pid | xargs -I pid readlink ""/proc/pid/exe"" | xargs -I file dirname ""file"""
Check if port 8080 is open on localhost using netcat,nc -zv 127.0.0.1 8080
lint Docker files,hadolint Dockerfile
Kill a screen session,screen -S example -X quit
Print the number of lines in a file named 'test.txt',wc -l test.txt
"Write a Bash script that watches /var/log/syslog for new lines containing the word ""CRITICAL"", extracts the timestamp and message, and sends an email alert using mailx to admin@example.com.","#!/usr/bin/env bash
tail -F /var/log/syslog | while read -r line; do if [[ $line == *""CRITICAL""* ]]; then ts=$(echo ""$line"" | awk '{print $1"" ""$2"" ""$3}'); msg=$(echo ""$line"" | cut -d' ' -f4-); echo -e ""Subject: Critical Alert\n\n$ts – $msg"" | mailx -s 'Critical system event' admin@example.com; fi; done"
Stores system load average number in the 'proc_load_average' variable.,"proc_load_average=$(w | head -1 | cut -d"" "" -f13 | cut -d"","" -f1-2 | tr ',' '.')"
Display the mount points and their file system types.,"findmnt -t ext4,xfs"
show specific columns from ps output,"ps -eo pid,ppid,cmd,%mem,%cpu --sort=-%mem | head"
test HTTP/2 support of server https://example.com,curl --http2 -I https://example.com
"Ping hostname, grep for 192.168.11 and print the IP from the output",ping -c 1 hostname | grep 192.168.11 | grep 'bytes from' | awk '{print $4}' | sed 's/://g'
Shows size of compressed file in .bz2 archive.,bunzip2 -c bigFile.bz2 | wc -c
Find all files with the '.txt' extension in the current directory,find . -name '*.txt'
Display the current keyboard layout.,setxkbmap -query | grep layout
Print the first field of each line in data.tsv assuming tab separation.,cut -f1 data.tsv
"Monitor process activity, starting with the last remembered ""c"" state reversed: typing ""c"" toggles between using process names or full command lines.",top -c
"Extract the first 100 lines of a gzipped file ""access.log.gz"" without decompressing the whole file",zcat access.log.gz | head -n 100
Saves listing of a current folder in 'OUTPUT' variable.,"OUTPUT=""$(ls -1)"""
monitor file system events,inotifywait -m -r --format '%w%f %e' .
"Creates temporary file in TMPDIR folder or /tmp/ if TMPDIR is not defined, named by template ${tempname}.XXXXXX, and saves path to new file in  a TMPPS_PREFIX variable.","TMPPS_PREFIX=$(mktemp ""${TMPDIR:-/tmp/}${tempname}.XXXXXX"")"
search for a directory in a folder taking name as argument and assign the first instance of it to a variable,DIR='find $HOME -type d -name $1 | head 1'
check filesystem /dev/sda1 for errors,sudo fsck /dev/sda1
interactive disk usage analyzer,baobab
view git commit history,git log
"Replace the first occurrence of ""foo"" with ""bar"" on each line of file.txt, leaving the rest unchanged.",sed -i 's/foo/bar/' file.txt
Find all duplicate files (by content) in /home/user/Documents and list each set of duplicates.,fdupes -r /home/user/Documents
"Grab the output of ""basename"" (in this case ""stuff"") and echo it to stdout, which basename would do by default anyway.",echo $(basename /foo/bar/stuff)
create an animated GIF from terminal,asciinema rec demo.cast
"Find and delete all "".bak"" files older than 30 days","find . -name ""*.bak"" -type f -mtime +30 -delete"
display running processes,ps aux
"List all running processes containing ""python""",ps aux | grep python | grep -v grep
"Search all JSON log files under /var/log/app, extract entries where the field ""status"" is ""error"", count occurrences per hour, and output a sorted table.","find /var/log/app -type f -name '*.json' -print0 | xargs -0 -n1 jq -c '. | select(.status==""error"")' | jq -r '(.timestamp[0:13]) as $hour | $hour' | sort | uniq -c | sort -nr"
"Change the group of ""myfile"" to ""friends""",chown :friends myfile
"Monitor /var/log/syslog in real time, filter lines that contain either ERROR or CRITICAL, prepend a timestamp in UTC, and write them to /var/log/critical_errors.log without buffering.","stdbuf -oL tail -F /var/log/syslog | grep -Ei ""ERROR|CRITICAL"" | while IFS= read -r line; do printf ""%s %s\n"" ""$(date -u +'%Y-%m-%dT%H:%M:%SZ')"" ""$line""; done >> /var/log/critical_errors.log"
check the exit status of the last command,echo $?
Generate a UUID and print it.,uuidgen
List all currently running services (systemd),systemctl list-units --type=service --state=running
Kill a process by name 'myapp',pkill myapp
Extract the contents of the compressed archive 'archive1.tar.gz' to the current directory,tar xvzf archive1.tar.gz
Print the current terminal's dimensions (rows and columns).,stty size
replay a recorded terminal session,scriptreplay session.log
"Request changing the passphrase of key file ""private.key""",ssh-keygen -pf private.key
"List all Git branches, highlighting the current one.",git branch --color
filter JSON array with jq,cat data.json | jq '.[] | select(.age > 30)'
"Recursively change the owner and group of ""/var/antoniod-data/"" to ""antoniod""",chown -R antoniod:antoniod /var/antoniod-data/
describe a Kubernetes pod,kubectl describe pod pod_name
Prints current directory name,"pwd | grep -o ""\w*-*$"""
"Write a Bash function ""backup_mysql"" that dumps all databases to /backup/mysql/YYYYMMDD_HHMM.sql.gz, rotates backups keeping only the last 7 days, and logs the operation to /var/log/backup_mysql.log.","backup_mysql(){ ts=$(date +%Y%m%d_%H%M); dump=""/backup/mysql/${ts}.sql.gz""; mkdir -p /backup/mysql; mysqldump --all-databases | gzip > ""$dump"" && echo ""$(date): Backup saved to $dump"" >> /var/log/backup_mysql.log; find /backup/mysql -type f -mtime +7 -delete; }"
show file creation time,stat YOUR_FILE
generate a sequence from 0 to 20 with step 2,seq 0 2 20
Schedule a cron job to run /usr/local/bin/backup.sh every day at 2 am.,"(crontab -l 2>/dev/null; echo ""0 2 * * * /usr/local/bin/backup.sh"") | crontab -"
Search /usr/local for subdirectories whose names end with a number 0-9,find /usr/local -maxdepth 1 -type d -name '*[0-9]'
Transfer a file named 'example.txt' from a local machine to a remote server using SCP,scp example.txt user@host:/remote/path/
Write a Bash function to monitor the system's CPU usage every 5 seconds and alert if it exceeds 80%,cpu_monitor() { while true; do cpu_usage=$(top -bn1 | grep 'Cpu(s)' | awk '{print $2}' | awk -F. '{print $1}'); if [ $cpu_usage -gt 80 ]; then echo 'CPU usage exceeded 80%'; fi; sleep 5; done }; cpu_monitor
Open a file named 'example.txt' in the default editor,nano example.txt
"Run the script ""backup.sh"" with sudo and pass ""--full"" as an argument",sudo ./backup.sh --full
"Save ""$N"" number of '.' characters in variable ""myvar""",myvar=`seq 1 $N | sed 's/.*/./' | tr -d '\n'`
Extract a zip archive named 'archive.zip',unzip archive.zip
Prints current directory name,pwd | sed 's#.*/##'
"Create a script that reads a list of hostnames from /etc/hosts.allow, pings each host in parallel (max 10 concurrent jobs), and writes reachable hosts to reachable.txt and unreachable ones to unreachable.txt.","#!/usr/bin/env bash
hosts=$(cut -f1 /etc/hosts.allow | grep -v '^#')
mkdir -p /tmp/ping_results
printf ""%s\n"" ""$hosts"" | xargs -P10 -I{} bash -c 'if ping -c1 -W2 {} &>/dev/null; then echo {} >> /tmp/ping_results/reachable.txt; else echo {} >> /tmp/ping_results/unreachable.txt; fi'"
"Recursively change the owner and group of ""subdir1"" to ""user1""",chown user1:user1 -R subdir1
Adds %Pathname% to the dirs stack (Windows format).,pushd %Pathname%
"Find all JSON files under /data, extract the value of the field ""status"" using jq, count occurrences of each status, and write the summary to /tmp/status_summary.txt.","find /data -type f -name ""*.json"" -print0 | xargs -0 -n1 jq -r '.status' 2>/dev/null | sort | uniq -c | awk '{print $2"" ""$1}' > /tmp/status_summary.txt"
List all files with the setuid bit set,find / -perm -4000 2>/dev/null
show Kubernetes node resource usage,kubectl top nodes
"Print the current date in the format 'Day, DD Month YYYY'","date ""+%A, %d %B %Y"""
docker remove unused volumes,docker volume prune -f
Display the current terminal's dimensions (rows and columns).,stty size
"Using awk, process /proc/meminfo to compute and print the percentage of free memory (MemFree / MemTotal * 100) with two decimal places.","awk '/MemTotal:/ {total=$2} /MemFree:/ {free=$2} END {printf ""Free memory: %.2f%%\n"", (free/total)*100}' /proc/meminfo"
"List all files, including hidden ones, in the current directory with detailed information",ls -la
"Create a Bash function that takes a git branch name, checks out the branch, rebases it onto master, and pushes it with --force-with-lease, handling any merge conflicts by aborting and printing an error.","git_sync(){ local br=""$1""; git checkout ""$br"" && git rebase master && git push --force-with-lease || { git rebase --abort; echo ""Rebase failed on $br"" >&2; return 1; }; }"
cordon a Kubernetes node,kubectl cordon node_name
"Convert all characters in ""$a"" to upper case and save to variable ""b""","b=`echo ""$a"" | sed 's/./\U&/g'`"
"Find all symbolic links in ""/usr/bin"" that are broken.",find /usr/bin -xtype l
"Show the first 5 columns of a CSV file ""data.csv"" using cut","cut -d',' -f1-5 data.csv"
"Searches manual pages which descriptions contain 'postscript', and prints name and description of only ones that contain any-cased 'png' pattern.",apropos postscript | grep -i png
show the number of words in a file essay.txt,wc -w essay.txt
"Using jq, merge multiple JSON configuration files (config.d/*.json) into a single JSON object, where later files override earlier keys, and write the result to merged_config.json.",jq -s 'reduce .[] as $item ({}; . * $item)' config.d/*.json > merged_config.json
"Rename $file file, preserving only part of name before '-' symbol, and appending '.pkg' suffix to the end",mv $file $(echo $file | rev | cut -f2- -d- | rev).pkg
"Change directory to the output of command '~/marker.sh go ""$@""'","cd $( ~/marker.sh go ""$@"" )"
Create a new user account called 'example',useradd example
run a Jupyter notebook from command line,jupyter nbconvert --to notebook --execute notebook.ipynb
show virtual memory statistics,vmstat 1 5
Change the password of a user named 'example',passwd example
"Find all files named ""README.md"" and print their absolute paths.","find $(pwd) -type f -name ""README.md"""
"Delete the line containing ""start"" plus the next 4 lines from standard input","sed '/start/,+4d'"
"enable extglob expansion and create symbolic links in ""bar2"" directory to all files located in ""bar1"" directory that are not directory and do not have"".cc"" filename extension",shopt -s extglob; cd bar2; ln -s ../bar1/foo!(*.cc) .
"Extract IP addresses from a log file using grep and sed, and sort them in descending order","grep -oE '\b([0-9]{1,3}.){3}[0-9]{1,3}\b' log.txt | sed 's/\./,/g' | sort -t, -k4 -rn"
attach to a screen session mysession,screen -r mysession
generate a new locale,sudo locale-gen YOUR_LOCALE
Display the diff of changes between two commits in a Git repository,git diff commit1..commit2
"Create a new Git branch called ""feature/login""",git checkout -b feature/login
"Read a line of input from the user and store it in the variable ""name"".","read -p ""Enter your name: "" name"
remove a docker image,docker rmi image_id
show the first 10 lines of log.txt,head log.txt
Print the first 5 columns of a CSV file data.csv using comma as delimiter,"cut -d',' -f1-5 data.csv"
Find all processes using more than 100 MB of resident memory,"ps -eo pid,comm,rss --sort=-rss | awk '$3>102400 {print $0}'"
Print the number of characters in a file called 'file.txt',wc -c file.txt
Create an empty file named placeholder.txt only if it does not already exist,touch placeholder.txt
"Develop a function cleanup_tmp that deletes files in /tmp older than 7 days, but excludes any .keep files, and logs each deletion to /var/log/cleanup.log with timestamp.","#!/usr/bin/env bash
cleanup_tmp(){
    local log=""/var/log/cleanup.log""
    find /tmp -type f -mtime +7 ! -name ""*.keep"" -print0 |
        while IFS= read -r -d '' file; do
            rm -f ""$file"" && echo ""$(date +'%F %T') Deleted $file"" >> ""$log""
        done
}
# Call cleanup_tmp"
test SMTP connection to mail.example.com,telnet mail.example.com 25
"Kill all processes matching the string ""myProcessName""",ps -ef | grep myProcessName | grep -v grep | awk '{print $2}' | xargs kill -9
Print the usernames of all currently logged‑in users.,who | awk '{print $1}' | sort | uniq
"Create a branch named ""feature-x"" and switch to it",git checkout -b feature-x
"Measure how long it takes to copy the directory ""src"" to ""dst"" using rsync, showing progress.",time rsync -avh --progress src/ dst/
Display the uptime of the system,uptime
"Find all regular files larger than 100M in /var/www, compute their SHA256 checksums in parallel (max 4 jobs), and write filename:checksum pairs to checksums.txt.","find /var/www -type f -size +100M -print0 |
  xargs -0 -n1 -P4 sh -c 'sha256sum ""$0""' | tee checksums.txt"
Compress $file file using gzip,"gzip ""$file"""
"Execute ""myscript.rb"" with the first argument as the current host name and the second ""file.txt""",myscript.rb `hostname -i` file.txt
fork a GitHub repository owner/repo,gh repo fork owner/repo
List the 5 largest files in the home directory tree.,find ~ -type f -exec du -h {} + | sort -hr | head -n 5
"Force‑kill a process named ""myapp""",pkill -9 myapp
List the 5 largest files in the /var/log directory.,find /var/log -type f -exec du -h {} + | sort -rh | head -n 5
"Print which files differ between dir1 and dir2, treating absent files as empty",diff --brief -Nr dir1/ dir2/
"Create a Bash function that accepts a directory and creates a hierarchical tree view showing file counts and total size per subdirectory, similar to ""du -h --max-depth=2"" but formatted as JSON.","dir_tree(){ local dir=""$1""; find ""$dir"" -mindepth 1 -maxdepth 2 -type d | while read sub; do count=$(find ""$sub"" -type f | wc -l); size=$(du -sh ""$sub"" | cut -f1); echo ""{\""path\"": \""${sub}\"", \""files\"": $count, \""size\"": \""$size\""}""; done | jq -s '.'; }"
Write a one‑liner that lists all Docker containers that have been stopped for more than 24 hours and removes them.,"docker ps -a --filter ""status=exited"" --format ""{{.ID}} {{.RunningFor}}"" | while read -r id time; do if [[ $time == *""days""* ]] && (( $(echo $time | grep -o '[0-9]*' | head -1) >= 1 )); then docker rm ""$id""; fi; done"
Generate a random password of length 16 using OpenSSL and print it.,openssl rand -base64 12
redirect a command's output to clipboard,command | xclip -selection clipboard
"Find all files with the extension "".log"" that were modified in the last 2 days","find . -type f -name ""*.log"" -mtime -2"
"Count how many times the word ""TODO"" appears in all *.py files recursively.","grep -R ""TODO"" --include=""*.py"" . | wc -l"
"run ""tar -xzvf ..."" as user $username",su $username -c tar xzvf ..
"Display the list of all environment variables that contain the string ""PATH"".",env | grep PATH
sync directories source/ to destination/ with rsync,rsync -avz source/ destination/
"Monitor real‑time network traffic on interface ""eth0"" using tcpdump, showing only the first 20 packets.",tcpdump -i eth0 -c 20
Show the last login time for user bob,last -n 1 bob
check if a remote port example.com:443 is open,"timeout 5 bash -c 'cat < /dev/null > /dev/tcp/example.com/443' && echo ""Open"" || echo ""Closed"""
Find all users with UID >=1000 who have not logged in for the past 90 days and disable their accounts (lock password).,"awk -F: '($3>=1000){print $1}' /etc/passwd | while read user; do lastlog -u ""$user"" | awk 'NR==2 && $4==""**Never logged in**"" || $5 < $(date -d ""90 days ago"" +%s) {print ""$user""}' | xargs -r usermod -L; done"
Print the number of characters in a file named 'example.txt',wc -c example.txt
"Change to the directory of the executable ""<file>""",cd `which <file> | xargs dirname`
record audio from microphone,arecord -f cd -d 10 output.wav
Copy a file from a remote server using scp,"scp user@remote.example.com:/opt/data/report.csv ./
report.csv                                                                                                                                 100%   12KB  12.0KB/s   00:00"
Show the last modification time of a file named config.yaml.,stat -c %y config.yaml
"Show hidden files in the current directory, sorted by modification time, newest first.",ls -la --sort=time
"Write standard output and error of ""./a.out"" to standard output and to file ""output""",./a.out |& tee output
Show the HTTP headers of https://api.example.com using curl,curl -I https://api.example.com
"Monitor a log file /var/log/nginx/access.log in real time, showing only lines that contain status code 500.","tail -F /var/log/nginx/access.log | grep "" 500 """
extract a tar.gz archive,tar -xzf YOUR_ARCHIVE
remove a conda environment,conda env remove -n myenv
Remove a package named 'package',apt-get remove package
edit a binary file with hexdump,xxd file.bin | vim -
Create a new directory named 'mydir',mkdir mydir
"Create a cron job that runs at 02:30 every Sunday, rotates the logs in /var/log/myapp/*.log (keep 7 days), compresses the rotated logs, and sends a summary email to ops@example.com.","30 2 * * 0 root logrotate -f /etc/logrotate.d/myapp && tar -czf /var/backups/myapp_$(date +%Y%m%d).tgz /var/log/myapp/*.log.1 && echo ""MyApp logs rotated"" | mail -s ""Log rotation"" ops@example.com"
"Create a nested directory structure ""project/src/utils""",mkdir -p project/src/utils
Count the number of running Docker containers.,docker ps -q | wc -l
Sort the file scores.txt numerically in descending order and save the result to sorted.txt.,sort -nr scores.txt > sorted.txt
"Split ""file.txt"" into files of at most 20 lines each with a prefix ""new""",split -l 20 file.txt new
Gets MAC address of en0 network interface.,"ifconfig en0 | grep -o -E '([[:xdigit:]]{1,2}:){5}[[:xdigit:]]{1,2}'"
"From the list of words (one per line) in list1.txt, display the number of occurrences of this word in list2.txt and sort the results from highest to lowest count.",grep -Ff list1.txt list2.txt | sort | uniq -c | sort -n
Add a new cron job to run /usr/local/bin/cleanup.sh daily at 3am,"(crontab -l ; echo ""0 3 * * * /usr/local/bin/cleanup.sh"") | crontab -"
"Parse a JSON log file /var/log/app.log (each line is a JSON object) to extract entries where ""level"" is ""error"" and ""user"" field matches regex ^admin.*, then count occurrences per ""module"" and output a sorted table.","jq -c 'select(.level==""error"" and (.user|test(""^admin"")))' /var/log/app.log | jq -r '.module' | sort | uniq -c | sort -nr | awk '{printf ""%5s %s\n"", $1, $2}' #=>   42 auth"
Compress the directory logs/ into a bzip2 archive logs.tar.bz2,tar -cjf logs.tar.bz2 logs/
"Show the size of each subdirectory in the current directory, sorted from largest to smallest.",du -sh */ | sort -rh
"Set timestamp of B to the timestamp in stat format specified by variable ""old_time""","touch -d""$(date --date=""@$old_time"")"" B"
Show the current load average values from /proc/loadavg.,cat /proc/loadavg
display a file in hexadecimal,xxd YOUR_FILE | head -20
"Create a one‑liner that finds all .sh files in the current repo that have been modified in the last commit, runs shellcheck on them, and prints any warnings prefixed with the filename.","git diff --name-only HEAD~1 HEAD -- '*.sh' | xargs -d '\n' -I{} sh -c 'shellcheck {} | sed ""s/^/{}: /""'"
"Create a Bash function called ""mkcd"" that makes a directory and then changes into it.","mkcd() { mkdir -p ""$1"" && cd ""$1""; }"
Show the current tmux session list,tmux ls
"Search for the pattern ""^def "" in all .py files and display the filename and line number.","grep -n ""^def "" -R *.py"
Sort the contents of unsorted.txt alphabetically and overwrite the file,sort unsorted.txt -o unsorted.txt
"Set permissions of command ""node"" to 755",sudo chmod 755 $(which node)
List environment variables whose name matches '^\w*X\w*',set | grep -oP '^\w*X\w*(?==)'
verify file against checksum,sha256sum -c YOUR_CHECKSUM_FILE
Save the short DNS lookup output of $WORKSTATION to 'WORKSTATION_IP' variable,WORKSTATION_IP=`dig +short $WORKSTATION`
"Display standard input as a table with ""${tab}"" separators","column -s""${tab}"" -t"
"Display the disk usage of the ""/home"" directory in human‑readable format, sorted by size.",du -sh /home/* | sort -h
"Display a detailed list with permissions, sizes, and timestamps",ls -l
"Sort the lines of ""unsorted.txt"" and remove duplicates, saving to ""sorted.txt""",sort -u unsorted.txt > sorted.txt
Create a compressed tar archive named backup.tar.gz containing the folder /etc,tar -czf backup.tar.gz /etc\n
"Find all files larger than 100 MB in ""/var"" and list their paths.",find /var -type f -size +100M
use xargs to process 4 items in parallel with process.sh,cat items.txt | xargs -P 4 -I {} ./process.sh {}
"Display the first 10 lines of the byte hex dump with no file offset data for ""/bin/ls""",od -t x1 -An /bin/ls | head
run a command in a cgroup,sudo cgexec -g cpu:mygroup command
Merge lines whose first comma-separated field in file 'in1' also appears as a first comma-separated in file 'in2' - both files must be sorted.,"join -t, in1 in2"
Copy file report.pdf to the directory /tmp,cp report.pdf /tmp/
Create a new zip archive named 'archive.zip' from a directory named 'directory',zip -r archive.zip directory
"Find all files larger than 100 MB in ""/var/www"" and list their sizes in human‑readable form.",find /var/www -type f -size +100M -exec du -h {} +
extract audio from a video video.mp4 to audio.mp3,ffmpeg -i video.mp4 -vn audio.mp3
install node.js dependencies,npm install
Show the total number of lines of code (excluding blank lines) in all *.c and *.h files in the src directory.,"find src -name ""*.c"" -o -name ""*.h"" | xargs cat | grep -v '^\s*$' | wc -l"
Find all files with the name 'example' in the current directory,find . -name 'example'
Perform a DNS lookup,dig example.com
count commits by each author,git shortlog -sn
"Make a POST request to ""http://dweet.io/dweet/for/cycy42"" with data ""PiIP"" set to the IP address of the system","wget --post-data=""PiIP=$(hostname -I)"" http://dweet.io/dweet/for/cycy42"
Forcefully remove files *~important-file,rm -rf *~important-file
