prompt,command
"Create a Bash function called retry that runs a given command up to N times with a delay of D seconds between attempts, returning success if any attempt succeeds.","retry(){ local n=$1; local delay=$2; shift 2; local i=0; while ((i<n)); do ""$@"" && return 0; ((i++)); echo ""Attempt $i failed, retrying in $delay seconds...""; sleep $delay; done; return 1; }"
"Extract all IPv4 addresses from /var/log/nginx/access.log, count how many times each appears, and output the top 10 in descending order.","awk '{print $1}' /var/log/nginx/access.log | grep -Eo '([0-9]{1,3}\.){3}[0-9]{1,3}' | sort | uniq -c | sort -nr | head -n10"
"Using only Bash builtins and find, create a tar archive of all modified .conf files in /etc within the last 2 days, preserving directory structure, and store it as recent_confs.tar.","tempdir=$(mktemp -d); find /etc -type f -name '*.conf' -mtime -2 -exec cp --parents {} ""$tempdir"" \; && tar -cf recent_confs.tar -C ""$tempdir"" . && rm -rf ""$tempdir"""
"Write a one‑liner that replaces all tabs with four spaces in all .py files under ~/projects, but only if the file contains the string 'TODO'.",find ~/projects -type f -name '*.py' -exec grep -l 'TODO' {} + | xargs -d '\n' sed -i 's/\t/    /g'
"List all mounted filesystems, their mount points, and the percentage of used space, then send an alert via Slack webhook if any usage exceeds 85%.","df -hP | awk 'NR>1 {print $1"" ""$6"" ""$5}' | while read dev mp used; do usage=${used%%%}; if ((usage>85)); then curl -X POST -H 'Content-type: application/json' --data ""{\""text\"": \""Alert: $dev at $mp is $used used\""}"" https://hooks.slack.com/services/XXXXX/XXXXX/XXXXX; fi; done"
"Find all JPEG images larger than 5 MiB in ~/pictures, create thumbnails of 200×200 pixels using ImageMagick, and store them in a parallel directory structure under ~/thumbs.","find ~/pictures -type f -iname '*.jpg' -size +5M | while IFS= read -r img; do thumb=${img/#$HOME\/pictures/$HOME\/thumbs}; mkdir -p ""$(dirname ""$thumb"")""; convert ""$img"" -thumbnail 200x200 ""$thumb""; done"
"Using awk, parse a CSV file users.csv (fields: id,name,email,role) and output a JSON array of objects for users with role 'admin'.","awk -F',' 'NR>1 && $4==""admin"" {printf ""{\""id\"": %s, \""name\"": \""%s\"", \""email\"": \""%s\""}%s\n"", $1, $2, $3, (NR==FNR?"","":"""")} END{print ""]""}' OFS=',' <(echo '[') users.csv"
"Create a Bash script that monitors /var/log/syslog for the keyword 'kernel panic', writes the matching lines to panic.log, and restarts the system after logging 3 occurrences within 10 minutes.","#!/usr/bin/env bash
counter=0
start=0
tail -F /var/log/syslog | while read -r line; do
  if echo ""$line"" | grep -q 'kernel panic'; then
    echo ""$(date +%F\\%T) $line"" >> panic.log
    now=$(date +%s)
    if ((counter==0)); then start=$now; fi
    ((counter++))
    if ((counter>=3 && now-start<=600)); then
      echo ""Critical: 3 kernel panics detected, rebooting..."" | wall
      /sbin/reboot
    fi
  fi
done"
"Find all ELF binaries in /usr/local/bin that are not signed with a trusted GPG key, and list their paths.","find /usr/local/bin -type f -executable -exec file {} \; | grep -i 'ELF' | cut -d: -f1 | while IFS= read -r bin; do if ! dpkg-sig -c ""$bin"" 2>/dev/null | grep -q 'GOODSIG'; then echo ""$bin""; fi; done"
Write a Bash one‑liner that prints the current git branch name and the number of commits ahead/behind the remote tracking branch.,"git rev-parse --abbrev-ref HEAD && git rev-list --left-right --count $(git rev-parse @{u})...HEAD 2>/dev/null | awk '{print ""ahead:""$2"", behind:""$1}'"
"Using only coreutils, generate a hex dump of the first 64 bytes of /boot/vmlinuz, format it as a C array, and save to kernel.h.","head -c 64 /boot/vmlinuz | od -An -t x1 | tr '\n' ' ' | sed 's/ \{1,\}/, 0x/g' | sed 's/^/unsigned char kernel[] = {0x/' | sed 's/, $/};/' > kernel.h"
"Create a Bash function that accepts a directory and prints a tree view limited to depth 3, showing only directories and .conf files, with colors for directories.","tree_limited(){ local dir=""$1""; find ""$dir"" -maxdepth 3 \( -type d -printf '\033[1;34m%p\033[0m\n' -o -name '*.conf' -printf '%p\n' \); }"
Find all users with UID >=1000 who have not logged in for the past 90 days and disable their accounts (lock password).,"awk -F: '($3>=1000){print $1}' /etc/passwd | while read user; do lastlog -u ""$user"" | awk 'NR==2 && $4==""**Never logged in**"" || $5 < $(date -d ""90 days ago"" +%s) {print ""$user""}' | xargs -r usermod -L; done"
"Write a command that streams the output of dmesg, filters for 'oom' messages, extracts the PID and process name, and appends them to /var/log/oom_events.log with a timestamp.","dmesg -wH | grep --line-buffered -i oom | while read -r line; do pid=$(echo ""$line"" | grep -oP 'pid=\K[0-9]+'); proc=$(echo ""$line"" | grep -oP 'comm=\K[^ ]+'); echo ""$(date +%F\\%T) pid=$pid proc=$proc"" >> /var/log/oom_events.log; done &"
"Using find and parallel, compress all .log files older than 30 days in /var/log into .gz archives, preserving original timestamps, and delete the original files after successful compression.",find /var/log -type f -name '*.log' -mtime +30 -print0 | parallel -0 'gzip -c {} > {}.gz && touch -r {} {}.gz && rm -f {}'
"Create a Bash one‑liner that monitors the load average from /proc/loadavg, and writes a warning to /var/log/load_warn.log if the 1‑minute load exceeds the number of CPU cores by more than 2.","while sleep 60; do load=$(awk '{print $1}' /proc/loadavg); cores=$(nproc); if (( $(echo ""$load > $cores+2"" | bc -l) )); then echo ""$(date +%F\\%T) High load: $load"" >> /var/log/load_warn.log; fi; done &"
"Write a script that backs up all MySQL databases to /backup/mysql, compresses each dump with xz, and retains only the last 7 days of backups, deleting older ones.","#!/usr/bin/env bash
mkdir -p /backup/mysql
databases=$(mysql -Nse 'show databases' | grep -Ev '(information_schema|performance_schema|mysql|sys)')
for db in $databases; do
  mysqldump ""$db"" | xz -c > ""/backup/mysql/${db}_$(date +%F).sql.xz""
done
find /backup/mysql -type f -mtime +7 -delete"
"Using only Bash and grep, extract all lines from /etc/passwd where the shell is /bin/bash and the UID is an even number.",grep '/bin/bash' /etc/passwd | awk -F: '($3%2==0){print}'
"Create a one‑liner that finds all .sh files in the current repo that have been modified in the last commit, runs shellcheck on them, and prints any warnings prefixed with the filename.","git diff --name-only HEAD~1 HEAD -- '*.sh' | xargs -d '\n' -I{} sh -c 'shellcheck {} | sed ""s/^/{}: /""'"
"Write a Bash function that takes a domain name, performs a DNS lookup for A, AAAA, MX, and TXT records, and prints them in a formatted table.","dns_info(){ local dom=$1; printf ""%-6s %-30s\n"" ""TYPE"" ""VALUE""; for t in A AAAA MX TXT; do dig +short $t $dom | while read -r val; do printf ""%-6s %-30s\n"" ""$t"" ""$val""; done; done; }"
"Generate a report of the top 5 most frequently modified files in the last month across the whole filesystem, showing path, modification count, and total size.","find / -type f -mtime -30 -printf '%T@ %p\n' 2>/dev/null | sort -nr | cut -d' ' -f2- | uniq -c | sort -nr | head -n5 | while read cnt file; do size=$(stat -c %s ""$file""); echo -e ""$file\t$cnt\t$size""; done"
"List the top 10 IP addresses by request count from an Apache access log, showing the count and IP, sorted descending.",awk '{print $1}' /var/log/apache2/access.log | sort | uniq -c | sort -nr | head -n 10 # output: count IP
"Recursively replace all occurrences of the string 'ERROR' with 'WARN' in .conf files under /etc, but only in files that actually contain 'ERROR'.","grep -rl ""ERROR"" /etc/*.conf | xargs -d '\n' sed -i 's/ERROR/WARN/g'"
"Monitor CPU usage every 5 seconds for 1 minute, outputting the average user and system percentages at the end.","end=$((SECONDS+60)); sum_user=0; sum_sys=0; count=0; while [ $SECONDS -lt $end ]; do read -r user sys <<< $(top -bn1 | grep ""%Cpu"" | awk -F',' '{gsub(/ *%us/,"""",$1); gsub(/ *%sy/,"""",$2); print $1,$2}'); sum_user=$((sum_user+user)); sum_sys=$((sum_sys+sys)); count=$((count+1)); sleep 5; done; echo ""Average User: $(echo ""scale=2;$sum_user/$count"" | bc)%""; echo ""Average Sys: $(echo ""scale=2;$sum_sys/$count"" | bc)%"""
"Create a function called json_pretty that reads a JSON file and pretty‑prints it using jq, handling the case where jq is not installed.","json_pretty(){ if ! command -v jq >/dev/null 2>&1; then echo ""jq is required but not installed"" >&2; return 1; fi; if [ -f ""$1"" ]; then jq . ""$1""; else echo ""File not found: $1"" >&2; return 2; fi }"
"Find all executable files in /usr/local/bin that are larger than 5 MB, list their sizes in human‑readable form, and sort descending.",find /usr/local/bin -type f -executable -size +5M -exec du -h {} + | sort -hr
"Download a JSON payload from https://api.example.com/data, extract the field 'users[*].email' using jq, and write unique emails to emails.txt.","curl -sSL ""https://api.example.com/data"" | jq -r '.users[].email' | sort -u > emails.txt"
"Archive all files modified in the last 24 hours from /home/user/documents into a zip file named recent_$(date +%Y%m%d%H%M).zip, preserving directory structure.","find /home/user/documents -type f -mtime -1 -print0 | zip -@ -r ""recent_$(date +%Y%m%d%H%M).zip"""
"Write a one‑liner that prints the number of lines, words, and characters of each .txt file in the current directory, formatted as ""filename: L lines, W words, C chars"".","for f in *.txt; do [ -e ""$f"" ] || continue; wc_output=$(wc ""$f""); set -- $wc_output; echo ""$f: $1 lines, $2 words, $3 chars""; done"
Replace the shebang line in all .sh scripts under ~/scripts with '#!/usr/bin/env bash' only if the current shebang is '#!/bin/sh'.,"find ~/scripts -type f -name ""*.sh"" -exec sed -i '1s|#!/bin/sh|#!/usr/bin/env bash|' {} +"
"Generate a report of disk usage per user in /home, showing user name and total usage in GB, sorted descending.","du -sh /home/* | sort -hr | awk '{print $2"" ""$1}'"
"Create a temporary named pipe, write the output of `ps aux` into it, and in parallel count how many processes belong to each user, then remove the pipe.","tmp_fifo=$(mktemp -u); mkfifo ""$tmp_fifo""; ps aux > ""$tmp_fifo"" & while read -r line; do echo ""$line""; done < ""$tmp_fifo"" | awk '{print $1}' | sort | uniq -c | sort -nr; rm -f ""$tmp_fifo"""
Find all symbolic links in /opt that point to non‑existent files and delete those broken links.,find /opt -xtype l -exec rm -v {} +
"Using only Bash built‑ins, generate a random password of 16 characters containing at least one uppercase, one lowercase, one digit, and one special character.","password=$(tr -dc 'A-Za-z0-9!@#$%^&*()_+-=' </dev/urandom | head -c16); while ! [[ ""$password"" =~ [A-Z] && ""$password"" =~ [a-z] && ""$password"" =~ [0-9] && ""$password"" =~ [!@#\$%\^&\*\(\)_\+\-\=] ]]; do password=$(tr -dc 'A-Za-z0-9!@#$%^&*()_+-=' </dev/urandom | head -c16); done; echo ""$password"""
"List the 5 most memory‑intensive processes, showing PID, command, and %MEM, sorted descending.","ps -eo pid,comm,%mem --sort=-%mem | head -n 6"
"Create a tar archive of /var/www, but exclude any .git directories and files larger than 100 MB, and show a progress bar.",tar --exclude='*/.git' --exclude='*' --exclude='*' -czvf - /var/www 2>/dev/null | pv -s $(du -sb /var/www | awk '{print $1}') | gzip > www_$(date +%Y%m%d).tar.gz
"Write a Bash function that takes a directory path and prints the total number of files, total size in MB, and the average file size, handling spaces in path names.","dir_stats(){ local dir=""$1""; local count=$(find ""$dir"" -type f | wc -l); local size=$(du -sb ""$dir"" | cut -f1); local avg=$((size/count)); echo ""Files: $count""; echo ""Total size: $(echo ""scale=2;$size/1024/1024"" | bc) MB""; echo ""Average size: $(echo ""scale=2;$avg/1024"" | bc) KB""; }"
"Extract all .csv files from a tarball archive data.tar.gz, convert each to tab‑delimited format using awk, and place the results in /tmp/csv_converted preserving original filenames with .tsv extension.","mkdir -p /tmp/csv_converted; tar -xzf data.tar.gz --wildcards --no-anchored ""*.csv"" -O | while IFS= read -r -d '' file; do base=$(basename ""$file"" .csv); awk -F',' 'BEGIN{OFS=""\t""} {$1=$1; print}' ""$file"" > ""/tmp/csv_converted/${base}.tsv""; done"
Find all Docker containers that have been exited for more than 24 hours and remove them.,"docker ps -a --filter ""status=exited"" --format ""{{.ID}} {{.RunningFor}}"" | while read -r id time; do if [[ ""$time"" =~ days? ]]; then days=$(echo $time | grep -o '[0-9]\+'); if [ $days -ge 1 ]; then docker rm ""$id""; fi; elif [[ ""$time"" =~ hours? ]]; then hours=$(echo $time | grep -o '[0-9]\+'); if [ $hours -ge 24 ]; then docker rm ""$id""; fi; fi; done"
"Monitor a log file /var/log/app.log for lines containing the word 'CRITICAL' and send an email alert with the matching line using mailx, but only send one email per unique message within a 10‑minute window.","declare -A seen; tail -F /var/log/app.log | while read -r line; do if [[ $line == *CRITICAL* ]]; then msg=$(echo ""$line"" | md5sum | cut -d' ' -f1); now=$(date +%s); if [[ -z ${seen[$msg]} ]] || (( now - seen[$msg] > 600 )); then echo ""$line"" | mailx -s ""Critical alert"" admin@example.com; seen[$msg]=$now; fi; fi; done"
Create a one‑liner that prints the current Git branch name for each repository under ~/projects (depth 1).,"for d in ~/projects/*/.git; do [ -d ""$d"" ] || continue; repo=$(dirname ""$d""); (cd ""$repo"" && echo ""$(basename ""$repo""): $(git rev-parse --abbrev-ref HEAD)""); done"
"Find duplicate files (by content) in /backup, list each set of duplicates on a separate line, showing full paths.","find /backup -type f -exec md5sum {} + | sort | awk 'BEGIN{prev=""""; dup=""""} {if($1==prev){dup=dup"" ""$2} else {if(dup!=""""){print dup}; dup=$2} prev=$1} END{if(dup!=""""){print dup}}'"
"Write a Bash script that reads a list of URLs from urls.txt, downloads them concurrently (max 5 at a time) using curl, and stores each file with its original filename in ./downloads.","#!/usr/bin/env bash
sem(){ while [ $(jobs -r | wc -l) -ge 5 ]; do sleep 0.1; done; ""$@"" & }
mkdir -p downloads
while IFS= read -r url; do
  filename=$(basename ""$url"")
  sem curl -sSL ""$url"" -o ""downloads/$filename""
done < urls.txt
wait"
"Compress all .log files older than 7 days in /var/log to .gz using pigz (parallel gzip) with maximum CPU utilization, and delete the original .log files after successful compression.","find /var/log -type f -name ""*.log"" -mtime +7 -print0 | xargs -0 -n1 -P$(nproc) pigz -f && find /var/log -type f -name ""*.log"" -mtime +7 -delete"
"Generate a report of the top 3 most common file extensions in /data, showing the extension and count, sorted descending.",find /data -type f | rev | cut -d. -f1 | rev | sort | uniq -c | sort -nr | head -n 3
"Create a Bash alias named 'lls' that lists files in long format, sorted by size descending, and colored output, only if the alias does not already exist.",[[ -z $(alias lls 2>/dev/null) ]] && alias lls='ls -lhS --color=auto'
"Write a Bash one‑liner that replaces all tabs in *.c source files with four spaces, but only in lines that start with a tab character.","find . -type f -name ""*.c"" -exec sed -i 's/^\t/    /' {} +"
"Extract the field 'metadata.version' from all JSON files in ./configs and write a CSV file versions.csv with two columns: filename,version.","echo ""filename,version"" > versions.csv; for f in ./configs/*.json; do ver=$(jq -r '.metadata.version' ""$f""); echo ""$(basename ""$f""),$ver"" >> versions.csv; done"
"List all users on the system whose home directories are larger than 1 GB, showing username and size in GB, sorted descending.","while IFS=: read -r user _ _ _ _ homedir _; do [ -d ""$homedir"" ] || continue; size=$(du -s ""$homedir"" | awk '{print $1}'); if [ $size -gt $((1024*1024)) ]; then echo -e ""$user\t$(echo ""scale=2;$size/1024/1024"" | bc)GB""; fi; done < /etc/passwd | sort -k2 -hr"
"Create a Bash function that takes a process name pattern, finds the newest matching process, and prints its PID and start time.","newest_proc(){ local pattern=""$1""; ps -eo pid,lstart,cmd --sort=start_time | grep -i ""$pattern"" | tail -n1 | awk '{print $1, $2"" ""$3"" ""$4"" ""$5"" ""$6"" ""$7}'; }"
"Find all files in /var/www that are world‑writable and log their paths to insecure_files.log, then change their permissions to 644.",find /var/www -type f -perm -o=w -print0 | tee insecure_files.log | xargs -0 chmod 644
"Write a Bash script that monitors the size of /var/lib/mysql, and if it exceeds 10 GB, rotates the logs by moving the current log to .old and restarting the MySQL service.","#!/usr/bin/env bash
threshold=$((10*1024*1024)) # in KB
size=$(du -sk /var/lib/mysql | cut -f1)
if [ $size -gt $threshold ]; then
  mv /var/log/mysql/error.log /var/log/mysql/error.log.old
  systemctl restart mysql
  echo ""MySQL logs rotated at $(date)"" >> /var/log/mysql/rotate.log
fi"
"Using only Bash, generate a histogram of word lengths from the file poem.txt, showing length and count, sorted ascending.","tr -c '[:alnum:]' '\n' < poem.txt | awk '{print length}' | sort -n | uniq -c | awk '{print $2"" ""$1}'"
"Create a one‑liner that prints the current kernel version, the number of CPUs, and total memory in MB, all on one line separated by commas.","echo ""$(uname -r),$(nproc),$(free -m | awk '/Mem:/ {print $2}')"""
"Find all .png images in ~/pictures larger than 2 MB, create thumbnails of 200x200 pixels using ImageMagick, and store them in ~/thumbnails preserving directory hierarchy.","mkdir -p ~/thumbnails; find ~/pictures -type f -name ""*.png"" -size +2M | while IFS= read -r img; do rel=${img#~/pictures/}; dest=~/thumbnails/${rel%.*}_thumb.png; mkdir -p ""$(dirname ""$dest"")""; convert ""$img"" -thumbnail 200x200 ""$dest""; done"
"Write a Bash pipeline that reads JSON lines from stdin, extracts the field 'event.type', counts occurrences, and prints a sorted list of event types with their counts.","jq -r '.""event"".type' | sort | uniq -c | sort -nr"
Create a systemd timer that runs /usr/local/bin/cleanup.sh daily at 02:30 and logs its output to /var/log/cleanup.log.,"cat <<'EOF' > /etc/systemd/system/cleanup.service
[Unit]
Description=Daily cleanup

[Service]
Type=oneshot
ExecStart=/usr/local/bin/cleanup.sh
StandardOutput=append:/var/log/cleanup.log
StandardError=append:/var/log/cleanup.log
EOF

cat <<'EOF' > /etc/systemd/system/cleanup.timer
[Unit]
Description=Run cleanup daily at 02:30

[Timer]
OnCalendar=*-*-* 02:30:00
Persistent=true

[Install]
WantedBy=timers.target
EOF

systemctl daemon-reload && systemctl enable --now cleanup.timer"
"Find all processes owned by the user 'alice' that have open network sockets, and print PID, command, and the remote address/port.","lsof -u alice -i -P -n | awk 'NR>1 {print $2, $1, $9}'"
"Create a Bash function that accepts a directory and a regex, recursively finds files matching the regex, replaces all occurrences of the word ""ERROR"" with ""WARN"" using sed, and logs the changes to a timestamped file in /var/log/patches/","patch_errors(){
  dir=""$1""
  regex=""$2""
  logdir=""/var/log/patches""
  mkdir -p ""$logdir""
  logfile=""$logdir/patch_$(date +%Y%m%d_%H%M%S).log""
  find ""$dir"" -type f -regextype posix-extended -regex ""$regex"" -print0 |
    while IFS= read -r -d '' f; do
      if grep -q ""ERROR"" ""$f""; then
        sed -i 's/ERROR/WARN/g' ""$f""
        echo ""$(date +%F%T) patched $f"" >> ""$logfile""
      fi
    done
}
# Usage: patch_errors /etc ""^.*\.conf$"""
"Write a one‑liner that monitors /var/log/auth.log in real time, extracts failed SSH login attempts, counts them per source IP, and alerts via curl POST to a webhook when any IP exceeds 5 attempts within a 10‑minute window.","tail -F /var/log/auth.log |
  awk '/Failed password/ {print $11}' |
  sort | uniq -c |
  while read count ip; do
    if (( count > 5 )); then
      curl -X POST -H ""Content-Type: application/json"" -d ""{\""ip\"": \""$ip\"", \""attempts\"": $count}"" https://example.com/webhook
    fi
  done"
"Generate a tarball of all modified Python (*.py) files in the last 24 hours from /home/user/projects, excluding any __pycache__ directories, and encrypt it with OpenSSL AES‑256, storing the password in a temporary file that is securely deleted afterwards.","tmpfile=$(mktemp)
openssl rand -base64 32 > ""$tmpfile""
find /home/user/projects -type f -name ""*.py"" -mtime -1 -not -path ""*/__pycache__/*"" -print0 |
  tar --null -cvf - --files-from - |
  openssl enc -aes-256-cbc -salt -pass file:""$tmpfile"" -out recent_py_$(date +%Y%m%d).tar.gz.enc
shred -u ""$tmpfile"""
"Create a Bash script that reads a JSON file containing an array of URLs, downloads each URL with curl (max 3 retries, 10s timeout), saves them to /tmp/downloads preserving original filenames, and writes a CSV report with URL, HTTP status, and file size.","#!/usr/bin/env bash
json_file=""urls.json""
output_dir=""/tmp/downloads""
mkdir -p ""$output_dir""
report=""download_report_$(date +%Y%m%d_%H%M%S).csv""
echo ""URL,Status,Size"" > ""$report""
jq -r '.[]' ""$json_file"" | while read -r url; do
  fname=$(basename ""$url"")
  outfile=""$output_dir/$fname""
  http_status=$(curl -L --retry 3 --retry-delay 2 --max-time 10 -w ""%{http_code}"" -o ""$outfile"" ""$url"")
  size=$(stat -c ""%s"" ""$outfile"" 2>/dev/null || echo 0)
  echo ""\""$url\"",$http_status,$size"" >> ""$report""
done"
"Write a pipeline that lists all Docker containers that have been stopped for more than 48 hours, extracts their names, and removes them after confirming with the user (yes/no).","docker ps -a --filter ""status=exited"" --format ""{{.Names}} {{.CreatedAt}}"" |
  while read name created; do
    created_ts=$(date -d ""$created"" +%s)
    now_ts=$(date +%s)
    age=$(( (now_ts - created_ts) / 86400 ))
    if (( age > 48 )); then
      echo -n ""Remove container $name (stopped $age days ago)? [y/N] ""
      read -r answer
      if [[ $answer == [Yy]* ]]; then
        docker rm ""$name""
      fi
    fi
  done"
"Construct a command that finds all symbolic links under /usr/local/bin that point to non‑existent targets, and rewrites them to point to /usr/bin/<basename> if that file exists, otherwise deletes the link.","find /usr/local/bin -type l -lname ""*"" -print0 |
  while IFS= read -r -d '' link; do
    target=$(readlink ""$link"")
    if [[ ! -e ""$target"" ]]; then
      base=$(basename ""$target"")
      new=""/usr/bin/$base""
      if [[ -e ""$new"" ]]; then
        ln -sf ""$new"" ""$link""
        echo ""Repointed $link -> $new""
      else
        rm ""$link""
        echo ""Removed dangling link $link""
      fi
    fi
  done"
"Create a Bash one‑liner that prints the top 5 processes consuming the most memory, showing PID, user, %MEM, and command, sorted descending, and logs the output to /var/log/top_mem.log with a timestamp.","ps -eo pid,user,%mem,command --sort=-%mem | head -n 6 | awk 'NR>1{print $0}' | tee -a /var/log/top_mem.log && echo ""--- $(date) ---"" >> /var/log/top_mem.log"
"Write a script that monitors the size of /var/lib/mysql, and when it exceeds 80% of the available disk space on its partition, automatically creates a compressed snapshot of the database directory (excluding .ibd files) and uploads it to an S3 bucket using awscli, then sends a summary email via mailx.","#!/usr/bin/env bash
mountpoint=$(df /var/lib/mysql | tail -1 | awk '{print $6}')
avail=$(df ""$mountpoint"" | tail -1 | awk '{print $4}')
used=$(du -s /var/lib/mysql | awk '{print $1}')
if (( used * 100 / avail > 80 )); then
  snap=""/tmp/mysql_snapshot_$(date +%Y%m%d_%H%M%S).tar.gz""
  tar --exclude='*.ibd' -czf ""$snap"" -C /var/lib mysql
  aws s3 cp ""$snap"" s3://my-backup-bucket/mysql/ --storage-class STANDARD_IA
  echo ""MySQL snapshot uploaded: $snap"" | mailx -s ""MySQL Disk Usage Alert"" admin@example.com
  rm -f ""$snap""
fi"
"Provide a Bash function that takes a directory and a file extension, computes the SHA256 hash of each matching file, stores the hashes in a .sha256 file next to each original, and verifies the integrity of all files, printing any mismatches.","hash_check(){
  dir=""$1""
  ext=""$2""
  find ""$dir"" -type f -name ""*.$ext"" | while read -r f; do
    sha256sum ""$f"" > ""${f}.sha256""
  done
  echo ""Verification results:""
  find ""$dir"" -type f -name ""*.$ext.sha256"" | while read -r h; do
    orig=""${h%.sha256}""
    if ! sha256sum -c ""$h"" >/dev/null 2>&1; then
      echo ""MISMATCH: $orig""
    fi
  done
}
# Usage: hash_check /etc conf"
"Create a pipeline that extracts all IPv4 addresses from /var/log/nginx/access.log, counts occurrences per address, and outputs the top 10 IPs with their request counts, formatted as JSON array.","awk '{print $1}' /var/log/nginx/access.log | sort | uniq -c | sort -nr | head -n 10 |
  awk '{printf ""{\""ip\"": \""%s\"", \""count\"": %s},\n"", $2, $1}' |
  sed '$ s/,$//' | awk 'BEGIN{print ""[""}{print}END{print ""]""}'"
"Write a Bash command that lists all systemd services that failed to start in the last boot, extracts their unit name and the last log line from journalctl, and writes a markdown report to ~/service_failures.md.","#!/usr/bin/env bash
report=~/service_failures.md
echo ""# Service Failures ($(date +%F))"" > ""$report""
systemctl --failed --no-legend | awk '{print $1}' | while read -r svc; do
  echo ""## $svc"" >> ""$report""
  journalctl -u ""$svc"" -b -n 1 --no-pager >> ""$report""
  echo -e ""\n---\n"" >> ""$report""
done"
"Construct a one‑liner that finds all JPEG images larger than 5 MB in ~/Pictures, creates a 200 px thumbnail for each using ImageMagick, stores thumbnails in ~/Pictures/thumbs preserving directory hierarchy, and logs any failures to ~/thumb_errors.log.","find ~/Pictures -type f -iname ""*.jpg"" -size +5M -print0 |
  while IFS= read -r -d '' img; do
    rel=${img#~/Pictures/}
    thumb_dir=~/Pictures/thumbs/$(dirname ""$rel"")
    mkdir -p ""$thumb_dir""
    if ! convert ""$img"" -thumbnail 200 ""$thumb_dir/$(basename ""$img"")""; then
      echo ""Failed: $img"" >> ~/thumb_errors.log
    fi
  done"
"Write a Bash script that reads a CSV of user:uid pairs, creates those users on the system with the specified UID, adds them to the sudo group, and logs successes and failures to /var/log/user_create.log.","#!/usr/bin/env bash
log=/var/log/user_create.log
while IFS=, read -r user uid; do
  if id ""$user"" &>/dev/null; then
    echo ""$(date): $user already exists"" >> ""$log""
    continue
  fi
  if useradd -u ""$uid"" -G sudo ""$user""; then
    echo ""$(date): Created $user with UID $uid"" >> ""$log""
  else
    echo ""$(date): Failed to create $user"" >> ""$log""
  fi
done < users.csv"
"Provide a Bash one‑liner that monitors the CPU temperature via /sys/class/thermal/thermal_zone0/temp, and when it exceeds 80 °C, sends a desktop notification and writes a timestamped entry to /var/log/cpu_temp.log.","while :; do temp=$(cat /sys/class/thermal/thermal_zone0/temp); ((c=temp/1000)); if (( c > 80 )); then notify-send ""CPU Overheat"" ""Temp: ${c}°C""; echo ""$(date): CPU temp $c°C"" >> /var/log/cpu_temp.log; fi; sleep 30; done"
"Create a Bash function that takes a Git repository URL, clones it into /opt/repos (creating a subdirectory based on repo name), runs a Docker build using the Dockerfile in the repo, tags the image with the repo name and current commit hash, and pushes it to a private registry.","docker_clone_build(){
  repo_url=""$1""
  base_dir=""/opt/repos""
  mkdir -p ""$base_dir""
  repo_name=$(basename ""$repo_url"" .git)
  dest=""$base_dir/$repo_name""
  git clone ""$repo_url"" ""$dest""
  cd ""$dest"" || return
  commit=$(git rev-parse --short HEAD)
  img=""myregistry.local/$repo_name:$commit""
  docker build -t ""$img"" .
  docker push ""$img""
}
# Usage: docker_clone_build https://github.com/example/app.git"
"Write a pipeline that extracts all JSON objects from a mixed‑format log file (log.txt), validates them with jq, pretty‑prints each to a separate file named by a timestamp and a counter in /var/log/json_events/, and records any malformed lines to /var/log/json_errors.log.","mkdir -p /var/log/json_events
counter=0
while IFS= read -r line; do
  if echo ""$line"" | jq . >/dev/null 2>&1; then
    ts=$(date +%Y%m%d_%H%M%S)
    ((counter++))
    echo ""$line"" | jq . > ""/var/log/json_events/${ts}_$counter.json""
  else
    echo ""$line"" >> /var/log/json_errors.log
  fi
done < log.txt"
"Construct a Bash one‑liner that lists all open network sockets owned by processes owned by the current user, groups them by remote IP, and shows the count per IP sorted descending.",ss -tp state ESTAB | awk -v user=$(whoami) '$NF==user{print $5}' | cut -d':' -f1 | sort | uniq -c | sort -nr
"Write a script that backs up all PostgreSQL databases to individual compressed dump files named <db>_$(date +%F).sql.gz, stores them in /backup/pg/, and rotates backups keeping only the last 7 days per database.","#!/usr/bin/env bash
backup_dir=""/backup/pg""
mkdir -p ""$backup_dir""
for db in $(psql -Atc ""SELECT datname FROM pg_database WHERE datistemplate = false;""); do
  dump_file=""$backup_dir/${db}_$(date +%F).sql.gz""
  pg_dump ""$db"" | gzip > ""$dump_file""
  find ""$backup_dir"" -name ""${db}_*.sql.gz"" -mtime +7 -delete
done"
"Create a Bash function that monitors a given directory for new files (using inotifywait), and when a new file appears, computes its MD5 checksum, appends the filename and checksum to /var/log/file_checksums.log, and moves the file to an archive directory preserving the original subdirectory structure.","watch_new(){
  watch_dir=""$1""
  archive_dir=""/var/archive""
  mkdir -p ""$archive_dir""
  inotifywait -m -e create --format ""%w%f"" ""$watch_dir"" | while read -r newfile; do
    checksum=$(md5sum ""$newfile"" | awk '{print $1}')
    echo ""$(date +%F_%T) $newfile $checksum"" >> /var/log/file_checksums.log
    rel=${newfile#${watch_dir}/}
    dest=""$archive_dir/$(dirname ""$rel"")""
    mkdir -p ""$dest""
    mv ""$newfile"" ""$dest/""
  done
}
# Usage: watch_new /var/incoming"
